pair,material_id,distance_dex,realized_Linf_A,realized_Linf_B,realized_Linf_ratio_A_over_B,row_index_A,row_index_B,nominal_tolerance_absolute_A,nominal_tolerance_absolute_B,nominal_tolerance_relative_A,nominal_tolerance_relative_B,Bader_error_fixed_e_A,Bader_error_fixed_e_B,Bader_error_resolved_e_A,Bader_error_resolved_e_B,compression_ratio_A,compression_ratio_B,bits_per_value_A,bits_per_value_B,certified_at_0.0001_A,certified_at_0.0001_B,certified_at_0.0001_ignoring_eligibility_A,certified_at_0.0001_ignoring_eligibility_B,certified_at_0.001_A,certified_at_0.001_B,certified_at_0.001_ignoring_eligibility_A,certified_at_0.001_ignoring_eligibility_B,certified_at_0.01_A,certified_at_0.01_B,certified_at_0.01_ignoring_eligibility_A,certified_at_0.01_ignoring_eligibility_B,eligible_A1_at_0.0001_A,eligible_A1_at_0.0001_B,eligible_A1_at_0.001_A,eligible_A1_at_0.001_B,eligible_A1_at_0.01_A,eligible_A1_at_0.01_B
sz3_vs_sperr,mp-1192831,4.229589793514066e-06,0.0115048880237154,0.0115047759782669,1.000009739037832,1021,1013,0.0115048932950999,0.0115048932950999,1e-06,1e-06,1.1038420391074055e-05,1.25473553058697e-06,0.0014086358383922,0.0013889008587399,12.257331450527076,5.515297449215647,5.221364883401921,11.604088553574151,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1192831,4.8385251536497975e-06,0.0345146408327252,0.0345142563032538,1.0000111411779533,1022,1014,0.0345146798853,0.0345146798853,3e-06,3e-06,3.105946000836468e-05,3.7303533533261657e-06,0.001846795412896,0.0018537001724228,17.265895965641235,6.3876501536048655,3.7067291571406797,10.019333942996495,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1192831,5.743407292979619e-06,0.1150487744456256,0.1150472529719977,1.0000132247714622,1023,1015,0.115048932951,0.115048932951,1e-05,1e-05,0.0001320639347044,1.4784364448239272e-05,0.0033018968562661,0.0040113090862607,28.05194805194805,7.752766824234597,2.2814814814814817,8.255117360158513,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1192831,5.908306861535095e-06,0.0034514643149492,0.0034514173602389,1.0000136044718442,1020,1012,0.0034514679885299,0.0034514679885299,3e-07,3e-07,1.2768325685641455e-06,4.6237322592901364e-07,0.0014381173222846,0.0006545835963942,8.745968384427368,4.795262567816375,7.3176573693034594,13.346505868007926,False,False,False,False,False,True,False,True,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,1.805657570685959e-07,1.358026973034839,1.3580275376591429,0.9999995842320659,1058,1047,1.358029887567,1.358029887567,0.0003,0.0003,0.0028375939093914,0.0001565388007893,0.0086593560205887,0.0093167777773537,95.98177888530373,12.30360433612844,0.6667932262068065,5.201727741851198,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,2.1241904923918753e-07,0.0135802499543018,0.0135802433120275,1.0000004891130554,1054,1043,0.01358029887567,0.01358029887567,3e-06,3e-06,1.4437974416026124e-05,2.196427402623158e-06,0.000407917751386,0.0004433200497269,12.853451096113812,5.417100110716562,4.979207492324776,11.814439218760207,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,8.964405084910254e-07,0.0452676099649522,0.0452675165267919,1.0000020641326821,1055,1044,0.0452676629189,0.0452676629189,1e-05,1e-05,7.333756127980706e-05,5.949103281110979e-06,0.0013189771855657,0.0008917633327438,19.13043520707207,6.357367350861725,3.345454471226076,10.067060226010843,False,False,False,False,False,True,False,True,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,1.3470496202927507e-06,0.0004526758289102,0.0004526744248494,1.000003101701185,1051,1040,0.000452676629189,0.000452676629189,1e-07,1e-07,7.178274152863652e-08,7.68435945985857e-08,0.0002464659657857,0.0002737921968032,5.908213314157401,3.8269314004864334,10.83237801293357,16.723581716637273,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,1.6745812287943806e-06,0.0045267657567364,0.0045267483021689,1.0000038558732087,1053,1042,0.00452676629189,0.00452676629189,1e-06,1e-06,2.218519527197316e-06,4.89835923822568e-07,0.0004943961747008,0.0006050943817585,9.545304591013794,4.775577571831298,6.704867234959828,13.401520347508002,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,2.3917735894052328e-06,0.4526762909931108,0.4526737979929436,1.0000055072773777,1057,1046,0.4526766291890001,0.4526766291890001,0.0001,0.0001,0.0009899691941681,5.913983581606885e-05,0.0028167362977526,0.0049244471311276,52.2413113967415,9.56976045710937,1.2250841008557058,6.687732706251225,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,3.5522277368471578e-06,0.0013580286354226,0.0013580175277354,1.0000081793400843,1052,1041,0.001358029887567,0.001358029887567,3e-07,3e-07,3.3885862205096373e-07,1.8152041558749945e-07,0.0002898520791205,0.0002742246324212,7.291244366946926,4.22808619715909,8.777651218237638,15.136872101378275,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,4.562085755832612e-06,45.26385304158377,45.264328522328775,0.9999894954645187,1061,1050,45.26766291890001,45.26766291890001,0.01,0.01,0.0778384463343817,0.0063321379516994,0.1058972053221252,0.1310351309741717,1015.5092310682128,32.02320579000803,0.063022568423803,1.998550689137109,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,4.95162237434954e-06,0.1358029624097199,0.1358014140567434,1.000011401596863,1056,1045,0.1358029887567,0.1358029887567,3e-05,3e-05,0.000223249807127,2.090884369998492e-05,0.0025001942843516,0.0015926454855428,29.69558101472995,7.570017422746922,2.1552028218694885,8.454405905023188,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,1.0139498972216998e-05,13.580250668501776,13.579933613286858,1.0000233473317284,1060,1049,13.58029887567,13.58029887567,0.003,0.003,0.0338261136639488,0.0015382393711833,0.0433538378159665,0.0469936811862989,422.3627546071775,22.19968137306965,0.15152851263962375,2.882924260239075,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
sz3_vs_sperr,mp-1193567,1.2525241772975981e-05,4.526755570664477,4.526625018947307,1.000028840850882,1059,1048,4.5267662918900005,4.5267662918900005,0.001,0.001,0.0132964782752083,0.000458557455814,0.0252136774514237,0.0249881747655518,178.1147784986309,16.580185321700576,0.3593188647200993,3.8600292311712066,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
sz3_vs_sperr,mp-1194734,3.129821281255829e-06,0.0006577455215222,0.0006577407813779,1.000007206705794,1085,1073,0.0006577459859888,0.0006577459859888,1e-07,1e-07,9.16885145585411e-08,1.3348266758583804e-07,0.0001212769499563,6.56628453565844e-06,6.476257937210655,10.452732462524338,9.88225,6.122800925925926,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1194734,4.9618618627178535e-06,0.0657745583708901,0.0657738068936737,1.0000114251744256,1089,1077,0.065774598598881,0.065774598598881,1e-05,1e-05,9.920533300888934e-05,1.3257421477064211e-05,0.0007974800262502,0.0005033776808485,21.803247144474906,31.827453941824643,2.9353425925925927,2.0108425925925926,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1194734,6.426387017643975e-06,0.019732373804743,0.0197320818209902,1.0000147974124294,1088,1076,0.0197323795796643,0.0197323795796643,3e-06,3e-06,1.8217952136190263e-05,1.8245535553518264e-06,0.0004818015334677,0.0003003859352315,14.727032157855376,22.237021165706345,4.34575,2.8780833333333335,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
