material_id,domain,stability_floor_A1_e,npoints,natoms,corpus
nomad2d-2KcZ7wrCEYsv,vacuum2d,6.32893997476458e-06,1228800,5,ext_vacuum2d
nomad2d-2OB-b56O56z1,vacuum2d,4.243437662410088e-05,786432,2,ext_vacuum2d
nomad2d-36OeWXGAtZ8e,vacuum2d,0.0001810727539766,2488320,6,ext_vacuum2d
nomad2d-3Api7db6z5lU,vacuum2d,0.0018872842403476,1128960,3,ext_vacuum2d
nomad2d-3I6dBXihz7G1,vacuum2d,2.40716655017792e-05,393216,2,ext_vacuum2d
nomad2d-3h-SYwcAlhgZ,vacuum2d,0.0001092984837303,1204224,6,ext_vacuum2d
nomad2d-3l4MNOykb4O5,vacuum2d,0.0001879562034581,1204224,6,ext_vacuum2d
nomad2d-4-v5dMHX5BhP,vacuum2d,0.0003836453725565,1204224,6,ext_vacuum2d
nomad2d-48ChW422P29g,vacuum2d,0.0001793998845176,688128,4,ext_vacuum2d
nomad2d-4VDDyQdQUYnl,vacuum2d,4.413888357923668e-05,1048576,4,ext_vacuum2d
nomad2d-54HlfCLZu2_8,vacuum2d,2.7382907088480124e-06,393216,2,ext_vacuum2d
