material_id,domain,seed,npoints,natoms,probe_linf,probe_rel_error,floor_f32_resolved_e,floor_noise_resolved_e,floor_noise_fixed_e,n_voxels_reassigned_f32,n_voxels_reassigned_noise,n_axis_order_flips_f32,n_axis_order_flips_noise,corpus
mp-1038991,bulk,1,790272,6,0.0001220218750859,3.78819863964654e-08,6.385388218177468e-09,0.0010258298880305,3.916896318401086e-08,0,156,104,3096,dev_bulk
mp-1038991,bulk,2,790272,6,0.0001220218750859,3.78819863964654e-08,6.385388218177468e-09,0.000786795365947,6.485349857143774e-08,0,89,104,3076,dev_bulk
mp-1038991,bulk,3,790272,6,0.0001220218750859,3.78819863964654e-08,6.385388218177468e-09,0.0007626444464428,4.133261555239187e-08,0,115,104,3152,dev_bulk
mp-1038991,bulk,4,790272,6,0.0001220218750859,3.78819863964654e-08,6.385388218177468e-09,0.0010395233813493,5.6676478621398025e-08,0,103,104,3110,dev_bulk
mp-1039028,bulk,20260905,790272,6,0.0001220593749167,4.2067952584855936e-08,0.0003089231925912,0.0008710810668208,5.862620788832373e-08,20,174,102,3336,dev_bulk
mp-1039028,bulk,1,790272,6,0.0001220593749167,4.2067952584855936e-08,0.0003089231925912,0.0003079359490776,2.7593220153221413e-08,20,97,102,3321,dev_bulk
mp-1039028,bulk,2,790272,6,0.0001220593749167,4.2067952584855936e-08,0.0003089231925912,0.0006651317512638,6.869858459879198e-08,20,64,102,3399,dev_bulk
mp-1039028,bulk,3,790272,6,0.0001220593749167,4.2067952584855936e-08,0.0003089231925912,0.0003170114668371,7.916189836976174e-08,20,49,102,3250,dev_bulk
mp-1039028,bulk,4,790272,6,0.0001220593749167,4.2067952584855936e-08,0.0003089231925912,0.0004749109293431,6.35283790018093e-08,20,103,102,3254,dev_bulk
mp-1041800,bulk,20260905,1228800,28,0.0002430124995953,3.5352462089491995e-08,6.372612659788501e-09,0.0021768153541916,3.7513441242253975e-08,0,732,6,48,dev_bulk
mp-1041800,bulk,1,1228800,28,0.0002430124995953,3.5352462089491995e-08,6.372612659788501e-09,0.0022444931694307,7.120206646504812e-08,0,814,6,54,dev_bulk
mp-1041800,bulk,2,1228800,28,0.0002430124995953,3.5352462089491995e-08,6.372612659788501e-09,0.0021921020557726,4.3842104169300455e-08,0,763,6,56,dev_bulk
mp-1041800,bulk,3,1228800,28,0.0002430124995953,3.5352462089491995e-08,6.372612659788501e-09,0.0024767491301114,4.8090640802911366e-08,0,846,6,66,dev_bulk
mp-1041800,bulk,4,1228800,28,0.0002430124995953,3.5352462089491995e-08,6.372612659788501e-09,0.002298527774486,6.139401342863948e-08,0,801,6,60,dev_bulk
mp-1044003,bulk,20260905,1638400,32,0.0009619999982533,5.4021445217092523e-08,2.604444659937144e-09,0.0001696445782863,1.7402996821402897e-07,0,189,0,542,dev_bulk
mp-1044003,bulk,1,1638400,32,0.0009619999982533,5.4021445217092523e-08,2.604444659937144e-09,0.000124093852861,2.3480674382625466e-07,0,177,0,510,dev_bulk
mp-1044003,bulk,2,1638400,32,0.0009619999982533,5.4021445217092523e-08,2.604444659937144e-09,0.0001121081546919,1.5840891531837542e-07,0,172,0,526,dev_bulk
mp-1044003,bulk,3,1638400,32,0.0009619999982533,5.4021445217092523e-08,2.604444659937144e-09,9.250401519533824e-05,1.829749933790481e-07,0,169,0,545,dev_bulk
mp-1044003,bulk,4,1638400,32,0.0009619999982533,5.4021445217092523e-08,2.604444659937144e-09,0.000164544986541,2.54261981247339e-07,0,159,0,563,dev_bulk
