material_id,stratum,domain,stability_floor_a1_e,n_seeds,floor_min_over_seeds_e,stability_floor_a_e,threshold_e,status,reason,status_under_protocol_a
aflow-H3Ni1Zr1_ICSD_658750,ext_bulk,bulk,0.006150924,5,0.002912549,3.081874e-08,0.01,ELIGIBLE,,ELIGIBLE
aflow-H4Si1_ICSD_159307,ext_bulk,bulk,8.279757e-05,5,2.711974e-05,4.054295e-05,0.0001,ELIGIBLE,,ELIGIBLE
aflow-H4Si1_ICSD_159307,ext_bulk,bulk,8.279757e-05,5,2.711974e-05,4.054295e-05,0.001,ELIGIBLE,,ELIGIBLE
aflow-H4Si1_ICSD_159307,ext_bulk,bulk,8.279757e-05,5,2.711974e-05,4.054295e-05,0.01,ELIGIBLE,,ELIGIBLE
aflow-Mo3Na1O16P3_ICSD_66877,ext_bulk,bulk,0.0001029742,5,4.155102e-05,2.60771e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.030e-04 >= threshold 0.0001,ELIGIBLE
aflow-Mo3Na1O16P3_ICSD_66877,ext_bulk,bulk,0.0001029742,5,4.155102e-05,2.60771e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Mo3Na1O16P3_ICSD_66877,ext_bulk,bulk,0.0001029742,5,4.155102e-05,2.60771e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Na10Sn12Yb1_ICSD_172210,ext_bulk,bulk,0.06924204,5,0.0600249,0.09933071,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.924e-02 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Na10Sn12Yb1_ICSD_172210,ext_bulk,bulk,0.06924204,5,0.0600249,0.09933071,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.924e-02 >= threshold 0.001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Na10Sn12Yb1_ICSD_172210,ext_bulk,bulk,0.06924204,5,0.0600249,0.09933071,0.01,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.924e-02 >= threshold 0.01,NON_EVALUABLE_BADER_UNSTABLE
aflow-Ni1_ICSD_181716,ext_bulk,bulk,8.692087e-08,5,1.57554e-09,4.272656e-08,0.0001,ELIGIBLE,,ELIGIBLE
aflow-Ni1_ICSD_181716,ext_bulk,bulk,8.692087e-08,5,1.57554e-09,4.272656e-08,0.001,ELIGIBLE,,ELIGIBLE
aflow-Ni1_ICSD_181716,ext_bulk,bulk,8.692087e-08,5,1.57554e-09,4.272656e-08,0.01,ELIGIBLE,,ELIGIBLE
aflow-O2Si1_ICSD_170531,ext_bulk,bulk,0.0001113793,5,3.154796e-07,5.886368e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.114e-04 >= threshold 0.0001,ELIGIBLE
aflow-O2Si1_ICSD_170531,ext_bulk,bulk,0.0001113793,5,3.154796e-07,5.886368e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-O2Si1_ICSD_170531,ext_bulk,bulk,0.0001113793,5,3.154796e-07,5.886368e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-O7V2Zr1_ICSD_84883,ext_bulk,bulk,8.186348e-06,5,5.432653e-06,1.381371e-08,0.0001,ELIGIBLE,,ELIGIBLE
aflow-O7V2Zr1_ICSD_84883,ext_bulk,bulk,8.186348e-06,5,5.432653e-06,1.381371e-08,0.001,ELIGIBLE,,ELIGIBLE
aflow-O7V2Zr1_ICSD_84883,ext_bulk,bulk,8.186348e-06,5,5.432653e-06,1.381371e-08,0.01,ELIGIBLE,,ELIGIBLE
