material_id,system_type,codec_a,codec_b,linf_a,linf_b,linf_ratio,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b
mp-1211145,bulk,SZ3,ZFP,2.513749461635712,2.6054452399999946,0.9648061003330538,0.015559959212415486,0.0186006035928265,0.013486225237095,1.3792297893456482,base,base,0.001,0.01
mp-1213918,bulk,SZ3,ZFP,0.0865258888932203,0.0992073187499897,0.8721724363025312,0.059397642669320794,0.006621398270072,0.0018826540636149,3.517055203098862,base,base,3e-05,0.0003
mp-1213918,bulk,SZ3,ZFP,0.2884180986106273,0.3360237249999898,0.8583265917031188,0.06634743244649083,0.0276254587462361,0.0075074009991116,3.679763309500212,base,base,0.0001,0.001
mp-1213918,bulk,SZ3,ZFP,2.8841429606876545,2.9390308600000026,0.9813244903075472,0.008187362601693837,0.0502523928760725,0.0694931238719327,0.7231275567447722,base,base,0.001,0.01
mp-1218887,bulk,SZ3,ZFP,0.0495496496430121,0.0588468189375035,0.842010673433934,0.07468240329360376,0.0020672906258081,0.0020065341401531,1.0302793181731582,base,base,3e-05,0.0003
mp-1218887,bulk,SZ3,ZFP,0.1651665637303185,0.188772242500022,0.8749515370635025,0.05801600157057951,0.0075571405104355,0.003719040830787,2.032013321250981,base,base,0.0001,0.001
mp-1218887,bulk,SZ3,ZFP,0.4954963171971087,0.6064339570000001,0.8170655872377354,0.08774308051511856,0.0043606800863091,0.0177110168113179,0.2462128590789032,base,base,0.0003,0.003
mp-1219705,bulk,SZ3,ZFP,0.000389920709324,0.0004627003725587,0.8427067114032486,0.07432354729889701,0.0002023479130652,1.698896336854716e-05,11.910550907409727,tight,base,1e-06,1e-05
mp-1219705,bulk,SZ3,ZFP,0.0116974824589206,0.0126788534921882,0.9225978095044437,0.034987580858536926,0.0015646631465795,0.0015704535201557,0.9963129290349033,base,base,3e-05,0.0003
mp-1219705,bulk,SZ3,ZFP,0.0389916715388469,0.0393511145000005,0.9908657488937552,0.003985183521035829,0.0150695156949769,0.0001648957471491,91.3881404191154,base,base,0.0001,0.001
