caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,realized_linf_a,realized_linf_b,rmse_a,rmse_b,resolved_bader_error_a,resolved_bader_error_b,compression_ratio_a,compression_ratio_b,distance,d_log10_linf,d_log10_rmse,error_ratio_a_over_b,compression_ratio_a_over_b,linf_ratio_a_over_b,rmse_ratio_a_over_b,jointly_eligible_tau_0.01,certification_difference_pp_a_minus_b
0.05,SZ3,SPERR,mp-1173587,dev_bulk,0,0.0003,0.0003,3.80290929304374,3.8028729225233775,1.323380190398539,1.319636674319944,0.0110677827242149,0.0214419748205365,133.324348207531,14.363720296924592,0.02460519644143921,4.153554716612717e-06,0.001230252810518126,0.5161736648256158,9.282020636121478,1.0000095639589077,1.002836777843056,True,0.0
0.05,SZ3,SPERR,mp-1173587,dev_bulk,1,0.003,0.003,38.02898595762228,38.02896711914743,10.57565079654876,11.48278765578828,0.0891297502742318,0.0937722522775272,609.2121775505461,26.055170340258098,0.7148046319004792,2.1513715120491383e-07,0.03574023159437645,0.9504917297970459,23.381623286079478,1.00000049537172,0.921000293096751,True,0.0
0.05,SZ3,SPERR,mp-1174037,dev_bulk,0,0.01,0.01,12.274873383237662,12.274071266342958,3.70310392970654,3.574064648834427,0.1381828342731372,0.0761373786526862,443.8848178346578,35.68743621020139,0.3080704637282864,2.838044130260009e-05,0.015403497041417413,1.8149145231737234,12.438125709567549,1.0000653505163282,1.0361043499630582,True,0.0
0.05,SZ3,SPERR,mp-1174037,dev_bulk,1,0.003,0.003,3.68239310529475,3.682255017592931,1.2477986361872806,1.1758912296516904,0.0358668629629992,0.0182580139309402,190.71438073699613,23.10829325954383,0.5155472111844167,1.6286107883178857e-05,0.025777355414447853,1.9644449335323861,8.253070817258658,1.000037500852374,1.0611514098603234,True,0.0
0.05,SZ3,SPERR,mp-1175088,dev_bulk,0,0.001,0.001,3.721238945891628,3.7212827250197904,1.333483174042192,1.2522187227420225,0.0210701275741449,0.0162960925161579,144.67502452850758,18.24774842905661,0.5461469534004303,5.109298870653589e-06,0.027307347192037798,1.2929558146073024,7.928376757876376,0.9999882354737876,1.0648963713960626,True,0.0
0.05,SZ3,SPERR,mp-1175263,dev_bulk,0,0.003,0.003,11.308397447090684,11.308308792183375,3.5871821276186973,3.658116603967593,0.044539108811076,0.0485935547719131,273.28034265475065,21.567003607761563,0.1700823643629595,3.4047696098049585e-06,0.00850411753656899,0.916564120903117,12.671224414150982,1.0000078398024796,0.9806090171450631,True,0.0
0.05,SZ3,SPERR,mp-1177023,dev_bulk,0,0.003,0.003,7.786363935960011,7.786369869814322,2.539748335387716,2.5512969189755847,0.046228010366125,0.0286553509901246,252.66620973269363,19.42613232155561,0.039406405159785725,3.3096824425538074e-07,0.00197032023019178,1.6132418123950534,13.006511309115831,0.9999992379177447,0.9954734458768892,True,0.0
0.05,SZ3,SPERR,mp-1178256,dev_bulk,0,0.003,0.003,20.39478266779429,20.394221383430704,6.379115263519669,6.316268897474211,0.0687589166133992,0.024654944124995,319.58900590804006,24.98413590907265,0.08599710899426671,1.1952373320633924e-05,0.0042998388375846686,2.788849014007374,12.791677369637814,1.00002752173535,1.009949919337758,True,0.0
0.05,SZ3,SPERR,mp-1178256,dev_bulk,1,0.001,0.001,6.79842430553056,6.798390312464107,2.415944932099412,2.256875666529893,0.0166456388618598,0.0136913540262,151.20131251139333,18.35639883147924,0.5915879401436498,2.171538201811707e-06,0.029579396927471968,1.215777404485081,8.236981223795347,1.0000050001639933,1.0704820686086352,True,0.0
0.05,SZ3,SPERR,mp-1178256,dev_bulk,2,0.0001,0.0001,0.6798396345361652,0.6798389358135069,0.2922872780233698,0.2724192949733159,0.006088071462214,0.0106324660026402,44.24151909537017,9.989281370057688,0.6114409642669838,4.463575458690805e-07,0.03057204821009074,0.5725926102845982,4.428899082568807,1.0000010277767595,1.0729316293546682,True,100.0
