caliper_dex,codec_a,codec_b,material_id,corpus,n_pairs,n_jointly_eligible_cert_pairs,material_error_ratio_a_over_b,material_compression_ratio_a_over_b,material_linf_ratio_a_over_b,material_rmse_ratio_a_over_b,material_certification_difference_pp
0.3,SZ3,SPERR,mp-1211797,dev_bulk,5,5,0.7523221368853736,8.301171517870433,1.0000077142825108,1.1813474329951377,0.0
0.3,SZ3,SPERR,mp-1213918,dev_bulk,8,8,1.474295492403258,3.098581574596055,1.0000328535779985,1.3318312820895843,0.0
0.3,SZ3,SPERR,mp-1215324,dev_bulk,4,0,0.7235648012638154,4.120684481486912,1.0000147142657017,1.2478802061635013,
0.3,SZ3,SPERR,mp-1218887,dev_bulk,9,9,0.6653579520804632,4.473528444590595,1.0000271443843207,1.2710699889301298,22.22222222222222
0.3,SZ3,SPERR,mp-1219705,dev_bulk,10,10,0.7836929809677586,4.372374231389664,1.0000166661499523,1.261696634699379,0.0
0.3,SZ3,SPERR,mp-1222924,dev_bulk,2,2,1.0996896216172196,0.6668742544658586,1.0001434319138123,1.8199246688626107,0.0
0.3,SZ3,SPERR,mp-1223327,dev_bulk,7,0,1.0439048503958888,4.514850753360293,1.0000151133750608,1.144406300726531,
0.3,SZ3,SPERR,mp-1223939,dev_bulk,10,10,1.138546582271878,3.8939962639684502,1.0000064756319798,1.3311586031875828,10.0
0.3,SZ3,SPERR,mp-1224859,dev_bulk,7,7,1.430405391880783,0.6700664444224065,1.0000250567065039,1.6329463235379915,0.0
0.3,SZ3,SPERR,mp-1225264,dev_bulk,4,4,1.4466903817308727,0.6382676174792223,1.0000122238498688,1.556853018025814,0.0
0.3,SZ3,SPERR,mp-1226636,dev_bulk,6,6,0.9855205530227334,5.962615173068977,0.9999946270332077,1.157979301383038,16.666666666666668
0.3,SZ3,SPERR,mp-1228245,dev_bulk,11,11,1.0185596424518792,3.1461269635312714,1.0000090839905906,1.3754413368759149,0.0
0.3,SZ3,SPERR,mp-1232323,dev_bulk,2,2,1.1597853207558786,0.7659964844745337,1.0002600070497651,1.857238364248085,0.0
