material_id,domain,case_role,stability_floor_A_archived_e,codec,relative_tolerance,compression_ratio,linf,atom_index,element,q_original_e,q_recon_old_basins_e,q_recon_new_basins_e,dq_integrand_e,dq_domain_e,dq_total_e,basin_voxels_original,basin_voxels_recon,frac_voxels_reassigned_material
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,3,Ga,11.554956598418066,11.562482288339874,11.60011839987456,0.00752568992180791,0.03763611153468638,0.04516180145649429,35590,36708,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,4,Ga,11.53755604195243,11.531439694935862,11.601154912954263,-0.0061163470165670475,0.0697152180184002,0.06359887100183315,35369,36793,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,5,Ga,11.559508568004922,11.560045542407998,11.599690924676151,0.0005369744030758739,0.039645382268153284,0.04018235667122916,35905,37060,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,6,Ga,11.530079701514016,11.526038054929563,11.628499166296402,-0.004041646584452607,0.10246111136683922,0.09841946478238661,35056,37689,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,7,Ga,11.551610063647342,11.565070314487848,11.626377171097337,0.01346025084050595,0.0613068566094892,0.07476710744999515,35707,37252,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,8,Ga,11.52391845318232,11.544078619877135,11.596725326121913,0.020160166694815018,0.05264670624477752,0.07280687293959254,34930,36523,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,9,Ga,11.546610954946974,11.539878541927278,11.64588746549991,-0.006732413019696182,0.1060089235726327,0.09927651055293651,35709,37806,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,10,Ga,11.863795380789298,11.870188340270001,13.245030858665515,0.006392959480702842,1.3748425183955142,1.381235477876217,97703,189130,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,11,N,6.188384616778942,6.189761452687707,7.457905722600251,0.0013768359087649173,1.2681442699125443,1.2695211058213092,73215,177442,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,12,N,6.404456905974751,6.3894434936611155,6.329574174545817,-0.0150134123136354,-0.05986931911529858,-0.07488273142893398,45938,42889,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,13,N,6.439200676176581,6.448916767997738,6.4309271196982385,0.009716091821156958,-0.01798964829949945,-0.008273556478342492,46476,45166,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,14,N,6.460732018073502,6.495506254295938,6.4407085980917875,0.03477423622243592,-0.054797656204150336,-0.02002341998171442,46416,44571,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,15,N,6.441640107241677,6.441667774183238,6.410877918406921,2.7666941560866576e-05,-0.030789855776316877,-0.03076218883475601,46256,44919,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,16,N,6.466413513105485,6.458527994939066,6.413381182105998,-0.007885518166419025,-0.04514681283306832,-0.05303233099948734,46805,44643,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,17,N,6.434733190031286,6.419499664547766,6.347194153110561,-0.015233525483520083,-0.07230551143720554,-0.08753903692072562,45957,43366,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,18,N,6.478920023791491,6.478353815756105,6.37633388282754,-0.0005662080353863175,-0.10201993292856493,-0.10258614096395124,46911,43162,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,19,N,6.4456299967366375,6.4660862233252,6.452188132677497,0.020456226588562387,-0.013898090647702865,0.006558135940859522,46051,44634,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,20,N,6.474643629459975,6.475782833465464,6.416719107493727,0.0011392040054891694,-0.059063725971737036,-0.057924521966247866,47086,45281,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,21,N,6.461503713316075,6.429179138002197,6.315277619269386,-0.032324575313878334,-0.11390151873281074,-0.14622609404668907,57736,47284,0.268023681640625
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,0,Pd,10.035991287086055,10.035991581072127,10.027746753747122,2.939860710426956e-07,-0.008244827325004422,-0.00824453333893338,184814,183871,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,1,Pd,10.028472549113953,10.028473683003018,10.029217154693603,1.1338890644196908e-06,0.0007434716905851957,0.0007446055796496154,184068,183896,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,2,Pd,10.033492175317944,10.03349367174421,10.03270745740618,1.4964262664562966e-06,-0.0007862143380297226,-0.0007847179117632663,184476,184448,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,3,Pd,10.025974036358123,10.025975627245222,10.034283903121949,1.5908870985015255e-06,0.008308275876727222,0.008309866763825724,183729,184606,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,4,Pd,9.969802662196107,9.96980690863473,9.971548131888254,4.246438622956816e-06,0.0017412232535232164,0.0017454696921461732,105276,105316,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,5,Pd,9.957295040967209,9.957298382513864,9.973743627548219,3.3415466553776696e-06,0.016445245034354627,0.016448586581010005,104824,105392,0.0036785714285714286
