material_id,tau_e,original_qsq_floor_e,original_qsq_eligible,n_planned,n_valid,n_fail,n_exceed,valid_exceedance_fraction,valid_exact_one_sided_95_upper,conservative_exceedance_fraction,conservative_exact_one_sided_95_upper,any_fresh_exceedance,any_unresolved,fresh_max_response_e,fresh_max_over_original_floor
nomad-1sSuZTi8blPO,0.0001,0.0095179188400056,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.008127618999999697,0.8539281681871239
nomad-1sSuZTi8blPO,0.001,0.0095179188400056,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.008127618999999697,0.8539281681871239
nomad-1sSuZTi8blPO,0.01,0.0095179188400056,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.008127618999999697,0.8539281681871239
nomad-1urv55npagDc,0.0001,0.0004829088404072,False,59,59,0,43,0.7288135593220338,0.8219056245244554,0.7288135593220338,0.8219056245244554,True,False,0.0005321797000004125,1.1020293178970717
nomad-1urv55npagDc,0.001,0.0004829088404072,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0005321797000004125,1.1020293178970717
nomad-1urv55npagDc,0.01,0.0004829088404072,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0005321797000004125,1.1020293178970717
nomad-1xNwoQ8q8XXI,0.0001,0.0001906116011411,False,59,59,0,30,0.5084745762711864,0.6217044495958055,0.5084745762711864,0.6217044495958055,True,False,0.00018722349999933385,0.9822251052848662
nomad-1xNwoQ8q8XXI,0.001,0.0001906116011411,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00018722349999933385,0.9822251052848662
nomad-1xNwoQ8q8XXI,0.01,0.0001906116011411,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00018722349999933385,0.9822251052848662
nomad-28WEed2y6N1X,0.0001,0.0013931589957749,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.0021810984000012468,1.565577516002099
nomad-28WEed2y6N1X,0.001,0.0013931589957749,False,59,59,0,15,0.2542372881355932,0.36415134253403497,0.2542372881355932,0.36415134253403497,True,False,0.0021810984000012468,1.565577516002099
nomad-28WEed2y6N1X,0.01,0.0013931589957749,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0021810984000012468,1.565577516002099
nomad-2C9dg1L8liw7,0.0001,0.0030655017038423,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.004590211100000019,1.4973767896611012
nomad-2C9dg1L8liw7,0.001,0.0030655017038423,False,59,59,0,44,0.7457627118644068,0.8362792951838172,0.7457627118644068,0.8362792951838172,True,False,0.004590211100000019,1.4973767896611012
nomad-2C9dg1L8liw7,0.01,0.0030655017038423,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.004590211100000019,1.4973767896611012
nomad-2iwRdQb9gzT1,0.0001,0.0083140029338064,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.00914029319999976,1.0993853710146648
nomad-2iwRdQb9gzT1,0.001,0.0083140029338064,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.00914029319999976,1.0993853710146648
nomad-2iwRdQb9gzT1,0.01,0.0083140029338064,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00914029319999976,1.0993853710146648
