material_id,system_type,corpus,stability_floor_A1_e,codec,valid_rows,numerical_pass,available,eligible,no_pass_observed,qualified_pass,eligible_no_pass,non_evaluable,non_evaluable_no_pass,non_evaluable_pass,design,tau_e
mp-1224859,bulk,dev_bulk,0.000177357784409,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1225264,bulk,dev_bulk,0.0005417757195598,ZFP,12,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1225264,bulk,dev_bulk,0.0005417757195598,SZ3,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1225264,bulk,dev_bulk,0.0005417757195598,SPERR,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1226636,bulk,dev_bulk,0.0053351040971492,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1226636,bulk,dev_bulk,0.0053351040971492,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1226636,bulk,dev_bulk,0.0053351040971492,SPERR,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1228245,bulk,dev_bulk,0.0001834717249256,ZFP,13,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1228245,bulk,dev_bulk,0.0001834717249256,SZ3,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1228245,bulk,dev_bulk,0.0001834717249256,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1232323,bulk,dev_bulk,0.0022105047095415,ZFP,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1232323,bulk,dev_bulk,0.0022105047095415,SZ3,3,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1232323,bulk,dev_bulk,0.0022105047095415,SPERR,3,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-12406,bulk,dev_bulk,5.745773436505175e-05,ZFP,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-12406,bulk,dev_bulk,5.745773436505175e-05,SZ3,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-12406,bulk,dev_bulk,5.745773436505175e-05,SPERR,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1245841,bulk,dev_bulk,0.0037436215130863,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1245841,bulk,dev_bulk,0.0037436215130863,SZ3,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1245841,bulk,dev_bulk,0.0037436215130863,SPERR,4,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1246480,bulk,dev_bulk,0.0001625568721106,ZFP,13,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1246480,bulk,dev_bulk,0.0001625568721106,SZ3,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1246480,bulk,dev_bulk,0.0001625568721106,SPERR,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1246536,bulk,dev_bulk,0.0009241491524383,ZFP,13,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1246536,bulk,dev_bulk,0.0009241491524383,SZ3,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1246536,bulk,dev_bulk,0.0009241491524383,SPERR,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
