material_id,system_type,corpus,stability_floor_A1_e,codec,base,tight,tight_access
mp-20888,bulk,dev_bulk,0.0003284703347112,SZ3,4,4,True
mp-20888,bulk,dev_bulk,0.0003284703347112,SPERR,3,4,True
mp-21054,bulk,dev_bulk,0.0069272674568239,ZFP,8,0,False
mp-21054,bulk,dev_bulk,0.0069272674568239,SZ3,6,0,False
mp-21054,bulk,dev_bulk,0.0069272674568239,SPERR,6,0,False
mp-21079,bulk,dev_bulk,0.0060007066605827,ZFP,8,0,False
mp-21079,bulk,dev_bulk,0.0060007066605827,SZ3,5,0,False
mp-21079,bulk,dev_bulk,0.0060007066605827,SPERR,4,0,False
mp-214,bulk,dev_bulk,3.139012960673426e-08,ZFP,9,4,True
mp-214,bulk,dev_bulk,3.139012960673426e-08,SZ3,6,4,True
mp-214,bulk,dev_bulk,3.139012960673426e-08,SPERR,7,4,True
mp-21588,bulk,dev_bulk,0.0804076255218637,ZFP,1,0,False
mp-21588,bulk,dev_bulk,0.0804076255218637,SZ3,1,0,False
mp-21588,bulk,dev_bulk,0.0804076255218637,SPERR,1,0,False
mp-2194,bulk,dev_bulk,0.0005228009083682,ZFP,9,4,True
mp-2194,bulk,dev_bulk,0.0005228009083682,SZ3,6,4,True
mp-2194,bulk,dev_bulk,0.0005228009083682,SPERR,7,4,True
mp-2216496,bulk,dev_bulk,0.0002421720812666,ZFP,7,4,True
mp-2216496,bulk,dev_bulk,0.0002421720812666,SZ3,5,4,True
mp-2216496,bulk,dev_bulk,0.0002421720812666,SPERR,5,4,True
mp-2217743,bulk,dev_bulk,7.25863680743899e-05,ZFP,8,4,True
mp-2217743,bulk,dev_bulk,7.25863680743899e-05,SZ3,6,4,True
mp-2217743,bulk,dev_bulk,7.25863680743899e-05,SPERR,6,4,True
mp-2227467,bulk,dev_bulk,0.0010396357791968,ZFP,8,0,False
mp-2227467,bulk,dev_bulk,0.0010396357791968,SZ3,6,0,False
mp-2227467,bulk,dev_bulk,0.0010396357791968,SPERR,7,0,False
mp-2229431,bulk,dev_bulk,0.0004403207488881,ZFP,7,4,True
mp-2229431,bulk,dev_bulk,0.0004403207488881,SZ3,4,4,True
mp-2229431,bulk,dev_bulk,0.0004403207488881,SPERR,5,4,True
mp-2230770,bulk,dev_bulk,7.70487921633034e-05,ZFP,8,4,True
mp-2230770,bulk,dev_bulk,7.70487921633034e-05,SZ3,6,4,True
mp-2230770,bulk,dev_bulk,7.70487921633034e-05,SPERR,7,4,True
mp-2233790,bulk,dev_bulk,3.9294763928054977e-05,ZFP,5,4,True
mp-2233790,bulk,dev_bulk,3.9294763928054977e-05,SZ3,1,4,True
mp-2233790,bulk,dev_bulk,3.9294763928054977e-05,SPERR,3,4,True
mp-2240057,bulk,dev_bulk,0.000554428881867,ZFP,6,4,True
mp-2240057,bulk,dev_bulk,0.000554428881867,SZ3,5,4,True
mp-2240057,bulk,dev_bulk,0.000554428881867,SPERR,4,4,True
mp-2242118,bulk,dev_bulk,5.463212499812187e-05,ZFP,8,4,True
mp-2242118,bulk,dev_bulk,5.463212499812187e-05,SZ3,6,4,True
mp-2242118,bulk,dev_bulk,5.463212499812187e-05,SPERR,6,4,True
mp-22490,bulk,dev_bulk,0.0012240404902144,ZFP,7,0,False
mp-22490,bulk,dev_bulk,0.0012240404902144,SZ3,4,0,False
mp-22490,bulk,dev_bulk,0.0012240404902144,SPERR,5,0,False
mp-24407,bulk,dev_bulk,3.4131931091252454e-05,ZFP,8,4,True
mp-24407,bulk,dev_bulk,3.4131931091252454e-05,SZ3,7,4,True
mp-24407,bulk,dev_bulk,3.4131931091252454e-05,SPERR,7,4,True
mp-24460,bulk,dev_bulk,5.860799309953535e-05,ZFP,7,4,True
mp-24460,bulk,dev_bulk,5.860799309953535e-05,SZ3,6,4,True
mp-24460,bulk,dev_bulk,5.860799309953535e-05,SPERR,6,4,True
mp-26341,bulk,dev_bulk,2.642669002028697e-05,ZFP,8,4,True
mp-26341,bulk,dev_bulk,2.642669002028697e-05,SZ3,6,4,True
