material,domain,sentinel,solver,codec,control,codec_error_e,control_median_error_e,difference_e,ratio,relative_linf_mismatch_max,max_added_negative_fraction
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,sz3,shift,0.0053400000000003445,0.007483999999999824,0.0021439999999994797,1.4014981273407006,0.0,0.0004021990740740722
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,sz3,stratified,0.0053400000000003445,0.007250000000000867,0.0019100000000005224,1.3576779026217975,1.9308968271228733e-13,-0.00035445601851852304
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,sperr,global,0.011033000000000293,0.013352000000000253,0.00231899999999996,1.2101876189612888,0.0,0.00010850694444444753
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,sperr,shift,0.011033000000000293,0.011379999999999946,0.00034699999999965314,1.0314511012416971,0.0,0.00010030864197529965
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,sperr,stratified,0.011033000000000293,0.010136000000000145,-0.0008970000000001477,0.9186984501042216,0.0,-1.3985339506167316e-05
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,zfp,global,0.0006629999999994141,0.0006529999999997926,-9.999999999621423e-06,0.9849170437411309,1.1257135661039438e-13,0.1459862075617284
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,zfp,shift,0.0006629999999994141,0.0005720000000000169,-9.099999999939712e-05,0.8627450980400037,1.1257135661039438e-13,0.15597077546296295
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,zfp,stratified,0.0006629999999994141,0.0008010000000000517,0.0001380000000006376,1.2081447963812362,0.0,0.13861255787037038
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,sz3,global,0.0026049999999999685,0.004275,0.0016700000000000317,1.6410748560460853,0.0,-0.01084201388888889
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,sz3,shift,0.0026049999999999685,0.004002999999999979,0.0013980000000000103,1.536660268714022,0.0,0.0004021990740740722
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,sz3,stratified,0.0026049999999999685,0.003417999999999921,0.0008129999999999526,1.3120921305182198,1.9308968271228733e-13,-0.00035445601851852304
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,sperr,global,0.005005,0.004103,-0.000902,0.8197802197802198,0.0,0.00010850694444444753
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,sperr,shift,0.005005,0.004677,-0.00032800000000000017,0.9344655344655345,0.0,0.00010030864197529965
nomad-FPTBoTAPMQA8,slab,False,henkelman_neargrid,sperr,stratified,0.005005,0.004227,-0.000778,0.8445554445554445,0.0,-1.3985339506167316e-05
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,zfp,global,0.0011350343999998458,0.0009076881999998676,-0.00022734619999997818,0.7997010487082955,0.0,0.13021995907738096
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,zfp,shift,0.0011350343999998458,0.002490357100000118,0.001355322700000272,2.194080725659466,0.0,0.13082527281746031
